cisp,mes,ano,mes_ano,aisp,risp,munic,mcirc,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,feminicidio,letalidade_violenta,tentat_hom,tentativa_feminicidio,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
66,1,2021,2021-01-01,34,3,Magé,3302502,Baixada Fluminense,3,0,0,3,2,,5,7,,62,9,1,16,14,18,1,33,6,0,1,2,0,0.0,0,0,1.0,13,56,7,6,0,6,4.0,37,60,0,1,0,24,4,1.0,3.0,0.0,6,13.0,4.0,7.0,0.0,85,3,0,0,0,0,416,3
67,1,2021,2021-01-01,34,3,Guapimirim,3301850,Baixada Fluminense,2,0,0,2,0,,2,4,,16,1,2,9,3,4,0,7,3,0,0,0,0,0.0,0,0,0.0,3,13,2,0,0,0,0.0,16,18,0,0,0,5,4,1.0,3.0,0.0,1,9.0,0.0,5.0,0.0,22,2,0,0,0,0,120,3
1,2,2021,2021-02-01,5,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,7,1,1,3,53,12,12,77,0,0,2,0,0,0.0,0,2,0.0,4,85,1,23,9,25,1.0,65,124,0,0,0,115,4,4.0,0.0,0.0,1,18.0,0.0,2.0,0.0,13,1,0,0,0,0,510,3
4,2,2021,2021-02-01,5,1,Rio de Janeiro,3304557,Capital,2,0,0,2,1,,3,10,,19,1,1,0,32,18,6,56,3,1,0,0,0,0.0,0,0,0.0,3,63,4,28,13,25,0.0,26,96,0,1,0,13,15,7.0,7.0,1.0,2,21.0,1.0,5.0,1.0,13,2,0,0,0,0,317,3
5,2,2021,2021-02-01,5,1,Rio de Janeiro,3304557,Capital,2,0,0,2,0,,2,1,,23,2,4,9,80,30,9,119,5,0,3,0,0,0.0,0,1,0.0,19,147,9,25,1,32,0.0,135,202,0,0,0,108,8,6.0,2.0,0.0,5,43.0,3.0,12.0,1.0,28,2,1,0,0,0,718,3
6,2,2021,2021-02-01,4,1,Rio de Janeiro,3304557,Capital,3,1,0,4,0,,4,4,,22,0,0,22,30,9,15,54,16,4,4,2,0,0.0,1,0,0.0,12,93,4,9,4,6,0.0,32,55,0,1,0,30,3,1.0,2.0,0.0,19,13.0,1.0,9.0,0.0,11,1,0,0,0,0,340,3
7,2,2021,2021-02-01,5,1,Rio de Janeiro,3304557,Capital,1,0,0,1,1,,2,2,,6,2,0,1,18,1,3,22,6,0,1,5,0,0.0,0,0,0.0,10,44,10,2,1,1,1.0,15,30,0,0,0,13,3,1.0,2.0,0.0,4,2.0,1.0,0.0,0.0,6,3,0,0,0,0,143,3
9,2,2021,2021-02-01,2,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,1,,22,1,2,8,66,15,22,103,14,2,6,2,0,0.0,0,1,5.0,13,146,23,18,8,20,7.0,80,156,0,1,0,119,1,1.0,0.0,0.0,5,28.0,2.0,3.0,0.0,23,1,0,0,0,0,645,3
10,2,2021,2021-02-01,2,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,17,1,5,18,33,12,4,49,3,1,8,0,0,0.0,0,0,6.0,4,71,14,14,15,33,4.0,112,192,0,1,0,90,8,8.0,0.0,0.0,2,23.0,6.0,7.0,0.0,20,1,1,0,0,0,540,3
11,2,2021,2021-02-01,23,1,Rio de Janeiro,3304557,Capital,0,0,0,0,0,,0,0,,6,1,0,2,2,0,1,3,1,0,0,0,0,0.0,0,0,0.0,0,4,1,1,0,1,0.0,2,5,0,2,0,3,3,1.0,2.0,0.0,0,2.0,1.0,0.0,0.0,5,0,0,0,0,0,52,3
